25
0;QUpUdouotIb
1;QiwivIfejuj
2;JedetaeiqAd
3;GEijUwuyaub
4;WiwUjAyuehI
5;JIepepawaqA
6;DUubAubAvuf
7;SoqAqiuzafu
8;OvEdowuvUbi
9;ROzagujEfIx
10;VonOneesIso
11;LauiupexAzo
12;KehawopEnUt
13;CIirIcedaoz
14;OyeegErewus
15;FuoxiqarIow
16;Ruhiluobiea
17;HOgacUaehes
18;VuyiqAxIlIn
19;UnOfozohUas
20;JauyuafEubi
21;TUnEmEwUjas
22;JovuqUorIxI
23;Ricedanaoge
24;BIkelogoirI
0.00;56.94;106.16;0.00;0.00;10.29;61.83;52.11;102.43;87.25;0.00;0.00;0.00;0.00;77.67;0.00;32.26;0.00;74.47;11.48;0.00;46.83;0.00;70.76;0.00
56.94;0.00;17.35;0.00;0.00;0.00;0.00;0.00;0.00;98.63;0.00;0.00;63.52;0.00;0.00;64.91;0.00;20.64;0.00;10.02;0.00;0.00;12.05;33.09;0.00
106.16;17.35;0.00;57.57;0.00;60.22;0.00;103.66;0.00;44.76;0.00;0.00;11.16;45.78;59.70;0.00;73.67;40.30;99.90;21.97;0.00;67.91;0.00;0.00;0.00
0.00;0.00;57.57;0.00;32.02;0.00;0.00;56.80;93.67;45.74;78.34;48.59;0.00;0.00;22.59;61.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;66.21
0.00;0.00;0.00;32.02;0.00;75.00;66.21;0.00;50.19;0.00;41.49;78.20;0.00;90.09;100.33;61.89;93.69;59.13;0.00;0.00;0.00;0.00;0.00;50.78;15.14
10.29;0.00;60.22;0.00;75.00;0.00;44.35;15.14;12.56;0.00;69.14;0.00;0.00;0.00;25.27;0.00;53.00;36.55;0.00;0.00;28.96;99.23;16.38;104.24;58.71
61.83;0.00;0.00;0.00;66.21;44.35;0.00;37.31;58.71;0.00;0.00;0.00;0.00;0.00;104.43;0.00;0.00;25.13;0.00;0.00;0.00;101.72;92.80;0.00;0.00
52.11;0.00;103.66;56.80;0.00;15.14;37.31;0.00;107.16;0.00;48.11;0.00;102.16;82.91;28.84;23.90;19.23;27.37;0.00;0.00;73.29;82.82;70.57;0.00;46.95
102.43;0.00;0.00;93.67;50.19;12.56;58.71;107.16;0.00;44.85;46.95;105.53;45.05;29.71;0.00;0.00;0.00;68.56;0.00;0.00;0.00;82.95;0.00;51.71;0.00
87.25;98.63;44.76;45.74;0.00;0.00;0.00;0.00;44.85;0.00;86.44;0.00;59.89;85.13;0.00;0.00;0.00;107.73;0.00;76.60;0.00;53.52;0.00;0.00;0.00
0.00;0.00;0.00;78.34;41.49;69.14;0.00;48.11;46.95;86.44;0.00;55.92;0.00;102.83;27.23;37.89;0.00;93.15;31.64;0.00;0.00;82.45;102.66;0.00;0.00
0.00;0.00;0.00;48.59;78.20;0.00;0.00;0.00;105.53;0.00;55.92;0.00;28.37;0.00;0.00;0.00;0.00;0.00;0.00;59.73;53.44;0.00;0.00;93.94;29.77
0.00;63.52;11.16;0.00;0.00;0.00;0.00;102.16;45.05;59.89;0.00;28.37;0.00;82.73;29.77;0.00;0.00;108.98;0.00;0.00;30.12;79.42;0.00;0.00;64.56
0.00;0.00;45.78;0.00;90.09;0.00;0.00;82.91;29.71;85.13;102.83;0.00;82.73;0.00;106.23;64.56;10.76;79.05;0.00;0.00;0.00;72.17;0.00;81.39;61.84
77.67;0.00;59.70;22.59;100.33;25.27;104.43;28.84;0.00;0.00;27.23;0.00;29.77;106.23;0.00;63.07;61.84;0.00;0.00;0.00;73.01;0.00;21.75;35.99;28.16
0.00;64.91;0.00;61.76;61.89;0.00;0.00;23.90;0.00;0.00;37.89;0.00;0.00;64.56;63.07;0.00;35.16;28.16;88.95;80.30;56.04;42.06;0.00;44.77;0.00
32.26;0.00;73.67;0.00;93.69;53.00;0.00;19.23;0.00;0.00;0.00;0.00;0.00;10.76;61.84;35.16;0.00;107.55;0.00;0.00;93.91;62.21;44.80;94.91;57.85
0.00;20.64;40.30;0.00;59.13;36.55;25.13;27.37;68.56;107.73;93.15;0.00;108.98;79.05;0.00;28.16;107.55;0.00;15.69;57.85;33.72;0.00;0.00;0.00;31.46
74.47;0.00;99.90;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.64;0.00;0.00;0.00;0.00;88.95;0.00;15.69;0.00;44.86;31.46;0.00;51.15;63.34;96.43
11.48;10.02;21.97;0.00;0.00;0.00;0.00;0.00;0.00;76.60;0.00;59.73;0.00;0.00;0.00;80.30;0.00;57.85;44.86;0.00;89.08;96.43;107.47;46.49;109.21
0.00;0.00;0.00;0.00;0.00;28.96;0.00;73.29;0.00;0.00;0.00;53.44;30.12;0.00;73.01;56.04;93.91;33.72;31.46;89.08;0.00;61.56;109.21;80.62;0.00
46.83;0.00;67.91;0.00;0.00;99.23;101.72;82.82;82.95;53.52;82.45;0.00;79.42;72.17;0.00;42.06;62.21;0.00;0.00;96.43;61.56;0.00;55.89;0.00;106.47
0.00;12.05;0.00;0.00;0.00;16.38;92.80;70.57;0.00;0.00;102.66;0.00;0.00;0.00;21.75;0.00;44.80;0.00;51.15;107.47;109.21;55.89;0.00;50.12;0.00
70.76;33.09;0.00;0.00;50.78;104.24;0.00;0.00;51.71;0.00;0.00;93.94;0.00;81.39;35.99;44.77;94.91;0.00;63.34;46.49;80.62;0.00;50.12;0.00;0.00
85.78;63.10;0.00;89.56;0.00;0.00;0.00;0.00;0.00;0.00;51.83;0.00;36.31;62.85;68.49;77.98;0.00;51.81;0.00;35.44;34.29;92.85;106.47;38.47;0.00
