15
0;Oonitemogow
1;Difugaxuquk
2;Uutilugeewu
3;Tecaohareta
4;Kawesesaqeq
5;Mubiagewuna
6;Qeneladuwob
7;Tuwulosadeu
8;Gaumeqedaub
9;Eiokixuoaci
10;Wevixarurux
11;Lanaqiukoag
12;Muejaukicab
13;Xibamonoeya
14;Tereyaiajul
0.00;56.94;106.16;0.00;0.00;10.29;61.83;52.11;102.43;87.25;0.00;0.00;0.00;0.00;32.26
56.94;0.00;31.85;32.26;0.00;74.47;11.48;0.00;46.83;0.00;70.76;85.78;0.00;0.00;0.00
106.16;31.85;0.00;49.19;0.00;0.00;0.00;98.63;0.00;0.00;63.52;0.00;0.00;64.91;0.00
0.00;32.26;49.19;0.00;65.32;0.00;10.02;0.00;0.00;12.05;33.09;63.10;0.00;0.00;103.66
0.00;0.00;0.00;65.32;0.00;54.73;103.66;0.00;44.76;0.00;0.00;11.16;45.78;59.70;40.30
10.29;74.47;0.00;0.00;54.73;0.00;91.83;40.30;99.90;21.97;0.00;67.91;0.00;0.00;0.00
61.83;11.48;0.00;10.02;103.66;91.83;0.00;32.02;0.00;0.00;56.80;93.67;45.74;78.34;0.00
52.11;0.00;98.63;0.00;0.00;40.30;32.02;0.00;25.04;0.00;22.59;61.76;0.00;0.00;0.00
102.43;46.83;0.00;0.00;44.76;99.90;0.00;25.04;0.00;15.42;0.00;0.00;0.00;0.00;66.21
87.25;0.00;0.00;12.05;0.00;21.97;0.00;0.00;15.42;0.00;75.00;66.21;0.00;50.19;78.20
0.00;70.76;63.52;33.09;0.00;0.00;56.80;22.59;0.00;75.00;0.00;75.74;78.20;0.00;61.89
0.00;85.78;0.00;63.10;11.16;67.91;93.67;61.76;0.00;66.21;75.74;0.00;105.16;61.89;0.00
0.00;0.00;0.00;0.00;45.78;0.00;45.74;0.00;0.00;0.00;78.20;105.16;0.00;84.56;0.00
0.00;0.00;64.91;0.00;59.70;0.00;78.34;0.00;0.00;50.19;0.00;61.89;84.56;0.00;90540499184404902709991030392780251291569399969373941441801381469512348867827069332519239134522553272892723867632381069022912735278007686723377822739217770904217764640806606817596835461402774202102094065090089679885961265152.00
77.67;0.00;0.00;60.22;0.00;0.00;48.59;0.00;89.56;0.00;90.09;93.69;0.00;18.66;0.00
